ID_author,ID_paper,link,name,organization
1,1,https://scholar.google.com/citations?user=TD-jnsIAAAAJ&hl=de&oi=sra,Markus Bühner,LMU München
2,2,https://scholar.google.com/citations?user=4W9pkhAAAAAJ&hl=de&oi=sra,Augustin Kelava,Eberhard Karls Universität Tübingen
3,3,https://scholar.google.com/citations?user=acTpu7wAAAAJ&hl=de&oi=sra,Ying Zheng,University of Southampton
4,3,https://scholar.google.com/citations?user=VsGTSncAAAAJ&hl=de&oi=sra,Liying Cheng,Queen's University at Kingston
5,4,https://scholar.google.com/citations?user=_QnLm3kAAAAJ&hl=de&oi=sra,Douglas G Altman,University of Oxford
6,6,https://scholar.google.com/citations?user=HvOe1LcAAAAJ&hl=de&oi=sra,Michael Doherty,University College Dublin
