ID_author,ID_paper,link,name,organization
63,17,https://scholar.google.com/citations?user=B8wslVsAAAAJ&hl=de&oi=sra,Shixiang Shane Gu,Google
64,17,https://scholar.google.com/citations?user=kQ0HeQIAAAAJ&hl=de&oi=sra,Le Hou,Google
65,17,https://scholar.google.com/citations?user=sd0nprMAAAAJ&hl=de&oi=sra,Yuexin Wu,Google
66,17,https://scholar.google.com/citations?user=ScLUQ-YAAAAJ&hl=de&oi=sra,Xuezhi Wang,Google
67,17,https://scholar.google.com/citations?user=kgE6J2AAAAAJ&hl=de&oi=sra,Hongkun Yu,Google
68,18,https://scholar.google.com/citations?user=GIoPkMoAAAAJ&hl=de&oi=sra,Jie Huang,University of Illinois at Urbana-Champaign
69,18,https://scholar.google.com/citations?user=sugWZ6MAAAAJ&hl=de&oi=sra,Kevin Chen-Chuan Chang,University of Illinois at Urbana-Champaign
70,19,https://scholar.google.com/citations?user=E6NenUwAAAAJ&hl=de&oi=sra,Lei Wang,Renmin University of China
71,19,https://scholar.google.com/citations?user=oeve8d4AAAAJ&hl=de&oi=sra,Chen Ma,Renmin University of China
72,19,https://scholar.google.com/citations?user=AuLB6mUAAAAJ&hl=de&oi=sra,Zeyu Zhang,Renmin University of China
73,19,https://scholar.google.com/citations?user=lOsjM5sAAAAJ&hl=de&oi=sra,Hao Yang,Organization not found
74,20,https://scholar.google.com/citations?user=bZmg3NcAAAAJ&hl=de&oi=sra,Tony (Ziheng) Wang,Startseite
75,20,https://scholar.google.com/citations?user=qAzX2PQAAAAJ&hl=de&oi=sra,Jeremy Wohlwend,Startseite
76,20,https://scholar.google.com/citations?user=g2uay50AAAAJ&hl=de&oi=sra,Tao Lei,Google
77,21,https://scholar.google.com/citations?user=4A91qjAAAAAJ&hl=de&oi=sra,Jordan Hoffmann,Startseite
78,21,https://scholar.google.com/citations?user=-KzSL30AAAAJ&hl=de&oi=sra,Sebastian Borgeaud,Organization not found
79,21,https://scholar.google.com/citations?user=F8riAN8AAAAJ&hl=de&oi=sra,Arthur Mensch,Organization not found
80,22,https://scholar.google.com/citations?user=T3Ji6P4AAAAJ&hl=de&oi=sra,Yannic Kilcher,ETH Zurich
