ID_author,ID_paper,link
2279,887,https://scholar.google.com/citations?user=5VMnkl0AAAAJ&hl=de&oi=sra
2294,893,https://scholar.google.com/citations?user=eDxVCHUAAAAJ&hl=de&oi=sra
2325,901,https://scholar.google.com/citations?user=RMvoE4sAAAAJ&hl=de&oi=sra
2326,901,https://scholar.google.com/citations?user=NJWMZBsAAAAJ&hl=de&oi=sra
2327,902,https://scholar.google.com/citations?user=mUdzGJUAAAAJ&hl=de&oi=sra
2330,903,https://scholar.google.com/citations?user=jtogpBkAAAAJ&hl=de&oi=sra
2333,906,https://scholar.google.com/citations?user=ArA4gRUAAAAJ&hl=de&oi=sra
2337,908,https://scholar.google.com/citations?user=DaFHynwAAAAJ&hl=de&oi=sra
2340,910,https://scholar.google.com/citations?user=exgkDkcAAAAJ&hl=de&oi=sra
2345,912,https://scholar.google.com/citations?user=mWZP7xUAAAAJ&hl=de&oi=sra
2355,916,https://scholar.google.com/citations?user=0KE2CZsAAAAJ&hl=de&oi=sra
2356,916,https://scholar.google.com/citations?user=y4uMsEIAAAAJ&hl=de&oi=sra
2398,935,https://scholar.google.com/citations?user=9Wk8OIQAAAAJ&hl=de&oi=sra
2411,940,https://scholar.google.com/citations?user=GSlVJl8AAAAJ&hl=de&oi=sra
2421,945,https://scholar.google.com/citations?user=YWm_zVcAAAAJ&hl=de&oi=sra
2422,945,https://scholar.google.com/citations?user=7xuGLSoAAAAJ&hl=de&oi=sra
2436,952,https://scholar.google.com/citations?user=fadCsRsAAAAJ&hl=de&oi=sra
2438,952,https://scholar.google.com/citations?user=4q0fNGAAAAAJ&hl=de&oi=sra
2469,962,https://scholar.google.com/citations?user=ZFKrXigAAAAJ&hl=de&oi=sra
2473,964,https://scholar.google.com/citations?user=lvCvljEAAAAJ&hl=de&oi=sra
2488,971,https://scholar.google.com/citations?user=UmUdIEgAAAAJ&hl=de&oi=sra
2493,973,https://scholar.google.com/citations?user=9-6xvKYAAAAJ&hl=de&oi=sra
2495,974,https://scholar.google.com/citations?user=2S-aFwIAAAAJ&hl=de&oi=sra
2500,976,https://scholar.google.com/citations?user=3kDtybgAAAAJ&hl=de&oi=sra
